full_name,gender,email,address,city,state,zip,score,date
Anton&Clayborn,0,aclayborn3c@flavors.me,-1,,Minnesota,55446,3,1/1/2017
Bobby&Wyld,0,bwyld4c@google.co.jp,040 Marcy Junction,Oakland,California,94622,2,1/1/2017
Bartholomew&Poulett,0,bpoulett4k@mapquest.com,81 Derek Plaza,El Paso,Texas,88584,1,1/1/2017
Lexi&Manginot,0,lmanginotc0@boston.com,6393 Lerdahl Center,Las Vegas,,89105,8,1/1/2017
Winn&Worling,1,wworling2g@instagram.com,09 Lyons Pass,Denver,Colorado,80223,4,1/1/2017
Cad&Ziemsen,1,cziemsen9m@guardian.co.uk,60 Cottonwood Road,Los Angeles,California,90081,4,1/1/2017
Valerye&Onions,0,vonionss@macromedia.com,9 Hazelcrest Way,Gatesville,,76598,4,1/2/2017
Danell&Crame,0,dcrame37@people.com.cn,7 Morning Circle,Louisville,Kentucky,40225,6,1/2/2017
Thekla&Linstead,1,tlinstead34@technorati.com,321 3rd Place,,Michigan,49444,8,1/2/2017
Lezlie&Elegood,1,lelegood3i@npr.org,915 Orin Lane,Vancouver,Washington,98682,10,1/2/2017
Wini&Wigfield,1,wwigfield3r@columbia.edu,7175 Sunnyside Terrace,Los Angeles,,90087,5,1/2/2017
Clea&Drynan,1,cdrynan8f@dropbox.com,9 Amoth Circle,Denton,Texas,76210,1,1/2/2017
Verine&Aleevy,0,valeevy7d@nydailynews.com,94930 Moose Lane,Nashville,Tennessee,37245,8,1/3/2017
Sylas&Daborne,1,sdaborne1f@cmu.edu,11712 Anthes Hill,Spartanburg,South Carolina,29305,10,1/3/2017
Sean&Sphinxe,1,ssphinxe6d@census.gov,293 Thompson Alley,Richmond,Virginia,23277,3,1/3/2017
Esdras&Cumbridge,1,ecumbridge93@msn.com,9390 Melrose Junction,Athens,Georgia,30605,2,1/3/2017
Parke&Lidster,1,plidsteraf@ucla.edu,3 Towne Terrace,Washington,,20370,10,1/3/2017
Gabbie&Haffard,1,ghaffardc8@jalbum.net,8383 Kropf Trail,West Palm Beach,,33416,5,1/3/2017
Charil&Lynde,0,clynde55@pen.io,706 Coleman Junction,Corpus Christi,Texas,78426,1,1/4/2017
Holly&Bowmen,0,hbowmen8y@narod.ru,018 Esker Crossing,Fullerton,California,92835,7,1/4/2017
Grantley&Robben,Male,grobben6s@google.nl,12 Milwaukee Point,Buffalo,New York,14225,2,1/6/2017
Kim&Antonin,1,kantonin6k@apple.com,82379 Jackson Crossing,Pensacola,Florida,32511,8,1/6/2017
Melissa&Dowson,1,mdowson7s@so-net.ne.jp,17 Mccormick Way,San Jose,California,95138,8,1/6/2017
Gillian&Tiffin,1,gtiffin9v@usgs.gov,6781 Fairfield Alley,Brockton,Massachusetts,2305,3,1/6/2017
Bari&Bellew,1,bbellewbe@spiegel.de,9 Dayton Drive,Charlotte,North Carolina,28230,9,1/6/2017
Holli&Clara,1,hclara3f@deviantart.com,9 Randy Trail,Richmond,Virginia,23203,3,1/7/2017
Aprilette&Kmieciak,1,akmieciakcb@a8.net,838 Porter Crossing,Atlanta,Georgia,30301,1,1/7/2017
Calli&Van Der Straaten,0,cvanderstraaten7x@tuttocitta.it,06 Ridgeway Street,Philadelphia,Pennsylvania,19125,6,1/8/2017
Pinchas&Farrants,0,pfarrantsag@thetimes.co.uk,80 Warner Alley,Tampa,Florida,33620,1,1/8/2017
Eduino&Calley,0,,9 South Crossing,Scottsdale,Arizona,85271,10,1/8/2017
Cissy&Folca,1,,809 Nobel Avenue,,Arizona,85710,8,1/8/2017
Nevins&Goldup,1,,67172 Veith Trail,Tampa,Florida,33633,9,1/8/2017
Emory&Van Son,1,evansonb3@webmd.com,45 Sachs Crossing,Des Moines,Iowa,50981,8,1/8/2017
Kizzie&Esparza,1,kesparzadi@squidoo.com,03936 Clemons Trail,Boston,Massachusetts,2109,4,1/8/2017
Marylin&Lorans,0,mlorans25@yandex.ru,8 Pine View Alley,,Texas,75367,10,1/9/2017
Shanie&Abramski,0,sabramski3j@amazon.co.jp,5537 Mcbride Trail,Waterloo,,50706,2,1/9/2017
Agnella&Mc Grath,0,amcgrathad@noaa.gov,205 Caliangt Junction,Houston,Texas,77234,7,1/9/2017
Blake&Bernhardt,0,bbernhardtd0@nba.com,4558 Forster Lane,Phoenix,Arizona,85045,3,1/9/2017
Ferd&Assandri,1,fassandri1a@1und1.de,065 Ruskin Road,New York City,New York,10115,2,1/9/2017
Georgeanne&Starbucke,1,gstarbucke1r@loc.gov,665 Forster Parkway,Memphis,Tennessee,38109,2,1/9/2017
Earlie&MacCumiskey,1,emaccumiskeycj@nba.com,0 Shopko Junction,Wichita,Kansas,67215,7,1/9/2017
Laurette&Derks,0,lderks2e@discovery.com,200 Amoth Road,Columbia,Missouri,,6,1/10/2017
Cathlene&Dalyiel,0,cdalyiel7y@ifeng.com,5 Jenifer Junction,Norwalk,Connecticut,6854,8,1/10/2017
Gregoire&Verrechia,1,gverrechiabq@icio.us,05 Saint Paul Crossing,Colorado Springs,Colorado,80910,9,1/10/2017
Audrie&Dotterill,1,,7 Northview Lane,Jacksonville,Florida,32225,3,1/10/2017
